id_solicitud,fecha,codigo_estudiante,programa,semestre,area_destino,tipo_solicitud,texto_solicitud,clasificacion_ia
SOL-02025008,2025-02-06,EST-20230039,Derecho,2,Mercadeo y Comunicaciones,Queja por calificación,No estoy de acuerdo con la nota final de Estadística. Solicito revisión.,
SOL-02025019,2025-02-07,EST-20222770,Contaduría Pública,2,Bienestar Universitario,Información de grado,¿Cuáles son los requisitos para ceremonia de grado del período actual?,
SOL-02025018,2025-02-08,EST-20227041,Contaduría Pública,5,Registro Académico,Solicitud de paz y salvo,Necesito el paz y salvo general para proceso de traslado.,
SOL-02025021,2025-02-09,EST-20207840,Psicología,10,Registro Académico,Información de grado,¿Cuáles son los requisitos para ceremonia de grado del período actual?,
SOL-02025036,2025-02-13,EST-20227073,Administración de Empresas,5,Registro Académico,Constancia de matrícula,Necesito constancia de matrícula urgente para trámite de beca.,
SOL-02025027,2025-02-15,EST-20219299,Psicología,5,Registro Académico,Queja por calificación,No estoy de acuerdo con la nota final de Estadística. Solicito revisión.,
SOL-02025049,2025-02-16,EST-20212341,Psicología,9,Gestión Financiera,Constancia de matrícula,Necesito constancia de matrícula urgente para trámite de beca.,
SOL-02025004,2025-02-17,EST-20224690,Ingeniería Industrial,9,Dirección Académica,Consulta de horarios,¿Cuándo abren inscripciones para el período 2025-2?,
SOL-02025009,2025-02-18,EST-20192535,Contaduría Pública,5,Dirección Académica,Cancelación de materia,Requiero cancelar Física II por problemas de salud.,
SOL-02025041,2025-02-25,EST-20240068,Ingeniería Industrial,6,Mercadeo y Comunicaciones,Solicitud de paz y salvo,Necesito el paz y salvo financiero para proceso de traslado.,
SOL-02025040,2025-02-28,EST-20204938,Psicología,6,Registro Académico,Solicitud de paz y salvo,Necesito el paz y salvo general para proceso de traslado.,
SOL-02025039,2025-03-06,EST-20227206,Psicología,3,Gestión Financiera,Queja por calificación,No estoy de acuerdo con la nota final de Estadística. Solicito revisión.,
SOL-02025025,2025-03-07,EST-20240732,Ingeniería de Sistemas,3,Registro Académico,Consulta de horarios,¿Cuándo abren inscripciones para el período 2026-1?,
SOL-02025011,2025-03-09,EST-20210477,Ingeniería Industrial,5,Mercadeo y Comunicaciones,Consulta de horarios,¿Cuándo publican los horarios para el período 2026-1?,
SOL-02025014,2025-03-12,EST-20240876,Ingeniería de Sistemas,5,Registro Académico,Consulta de horarios,¿Cuándo publican los horarios para el período 2025-2?,
SOL-02025050,2025-03-16,EST-20193451,Ingeniería Industrial,9,Dirección Académica,Retiro temporal,Debo retirarme temporalmente por enfermedad. ¿Cuál es el procedimiento?,
SOL-02025026,2025-03-17,EST-20212036,Ingeniería de Sistemas,5,Mercadeo y Comunicaciones,Cancelación de materia,Requiero cancelar Álgebra Lineal por problemas de salud.,
SOL-02025001,2025-03-18,EST-20203408,Administración de Empresas,9,Registro Académico,Retiro temporal,Debo retirarme temporalmente por enfermedad. ¿Cuál es el procedimiento?,
SOL-02025007,2025-03-22,EST-20232191,Ingeniería Industrial,6,Mercadeo y Comunicaciones,Cancelación de materia,Requiero cancelar Álgebra Lineal por problemas de salud.,
SOL-02025023,2025-03-22,EST-20215661,Contaduría Pública,5,Mercadeo y Comunicaciones,Solicitud de beca,Deseo aplicar a la beca de excelencia para el siguiente semestre.,
SOL-02025035,2025-03-26,EST-20229933,Psicología,3,Mercadeo y Comunicaciones,Queja por servicio,El servicio en ventanilla de pagos fue deficiente. Quiero dejar constancia.,
SOL-02025012,2025-03-30,EST-20223660,Ingeniería Industrial,1,Dirección Académica,Constancia de matrícula,Necesito constancia de matrícula urgente para trámite de visa.,
SOL-02025024,2025-03-30,EST-20221776,Contaduría Pública,8,Gestión Financiera,Información de grado,¿Cuáles son los requisitos para ceremonia de grado del período actual?,
SOL-02025042,2025-03-30,EST-20237906,Administración de Empresas,5,Registro Académico,Cancelación de materia,Requiero cancelar Física II por incompatibilidad de horario.,
SOL-02025048,2025-04-03,EST-20241924,Psicología,9,Bienestar Universitario,Solicitud de paz y salvo,Necesito el paz y salvo financiero para proceso de traslado.,
SOL-02025017,2025-04-05,EST-20191595,Ingeniería de Sistemas,9,Mercadeo y Comunicaciones,Cancelación de materia,Requiero cancelar Física II por incompatibilidad de horario.,
SOL-02025010,2025-04-12,EST-20219006,Ingeniería de Sistemas,9,Mercadeo y Comunicaciones,Información de grado,¿Cuáles son los requisitos para grado del período actual?,
SOL-02025046,2025-04-12,EST-20214218,Ingeniería Industrial,1,Dirección Académica,Consulta de horarios,¿Cuándo abren inscripciones para el período 2025-2?,
SOL-02025033,2025-04-13,EST-20221022,Administración de Empresas,2,Registro Académico,Constancia de matrícula,Necesito constancia de matrícula urgente para trámite de beca.,
SOL-02025045,2025-04-14,EST-20223703,Psicología,6,Bienestar Universitario,Solicitud de paz y salvo,Necesito el paz y salvo financiero para proceso de grado.,
SOL-02025044,2025-04-17,EST-20224942,Administración de Empresas,1,Bienestar Universitario,Solicitud de beca,Deseo aplicar a la beca socioeconómica para el siguiente semestre.,
SOL-02025003,2025-04-21,EST-20209346,Ingeniería de Sistemas,9,Dirección Académica,Queja por servicio,El servicio en ventanilla de pagos fue deficiente. Quiero dejar constancia.,
SOL-02025013,2025-04-29,EST-20193946,Administración de Empresas,4,Gestión Financiera,Retiro temporal,Debo retirarme temporalmente por situación familiar. ¿Cuál es el procedimiento?,
SOL-02025031,2025-04-30,EST-20231496,Administración de Empresas,9,Dirección Académica,Solicitud de homologación,Solicito homologación de materias cursadas en la Universidad de Cartagena.,
SOL-02025015,2025-05-01,EST-20231562,Administración de Empresas,2,Mercadeo y Comunicaciones,Información de grado,¿Cuáles son los requisitos para grado del período actual?,
SOL-02025037,2025-05-01,EST-20201621,Administración de Empresas,9,Bienestar Universitario,Solicitud de beca,Deseo aplicar a la beca socioeconómica para el próximo semestre.,
